он приведёт конкурента депутата	он приведёт конкурента депутату
он гарантирует поддержку россиянина	он гарантирует поддержку россиянину
он гарантирует доступ представителя	он гарантирует доступ представителю
он присвоит награду игрока	он присвоит награду игроку
он задаст вопрос эксперта	он задаст вопрос эксперту
он диктует письмо секретаря	он диктует письмо секретарю
он отправляет письмо мамы	он отправляет письмо маме
он отправляет семью жены	он отправляет семью жене
он увеличит оклад работника	он увеличит оклад работнику
он выразит поддержку руководителя	он выразит поддержку руководителю
он открывает путь человека	он открывает путь человеку
он предъявляет жалобу президента	он предъявляет жалобу президенту
он повезёт письмо деда	он повезёт письмо деду
он продемонстрирует отказ клиента	он продемонстрирует отказ клиенту
он продемонстрирует преданность друга	он продемонстрирует преданность другу
он обеспечивает поддержку гражданина	он обеспечивает поддержку гражданину
он задаёт вопрос учителя	он задаёт вопрос учителю
он направит просьбу президента	он направит просьбу президенту
он изменит лицо человека	он изменит лицо человеку
он портит жизнь ребёнка	он портит жизнь ребёнку
он разрешит въезд иностранца	он разрешит въезд иностранцу
он протягивает деньги отца	он протягивает деньги отцу
он предоставляет поддержку союзника	он предоставляет поддержку союзнику
он оформляет пенсию гражданина	он оформляет пенсию гражданину
он пришлёт послание главы	он пришлёт послание главе
он пришлёт подарок бабушки	он пришлёт подарок бабушке
он пришлёт священника отца	он пришлёт священника отцу
он пришлёт соболезнование президента	он пришлёт соболезнование президенту
он оформит отказ клиента	он оформит отказ клиенту
он озвучит комментарий корреспондента	он озвучит комментарий корреспонденту
он разрешает въезд гражданина	он разрешает въезд гражданину
он уступит место ребёнка	он уступит место ребёнку
он пожалует грамоту князя	он пожалует грамоту князю
он отнесёт подарок мамы	он отнесёт подарок маме
он предъявит письмо господина	он предъявит письмо господину
он назначает операцию пациента	он назначает операцию пациенту
он компенсирует зарплату работника	он компенсирует зарплату работнику
он повысит плату врача	он повысит плату врачу
он повысит плату педагога	он повысит плату педагогу
он повысит зарплату учителя	он повысит зарплату учителю
он оплачивает питание ребёнка	он оплачивает питание ребёнку
он оплачивает доступ сотрудника	он оплачивает доступ сотруднику
он установит бюст героя	он установит бюст герою
он реализует возможность покупателя	он реализует возможность покупателю
он реализует возможность потребителя	он реализует возможность потребителю
он оплатит образование ребёнка	он оплатит образование ребёнку
он оплатит покупку ребёнка	он оплатит покупку ребёнку
он оплатит обучение ребёнка	он оплатит обучение ребёнку
он пояснит заявление журналиста	он пояснит заявление журналисту
